"Gene","Pvalue"
"LYVE1",0.00328868857938567
"FAM13A",0.0120401986185289
"SDPR",0.0162168575248141
"ASF1B",0.017605441092894
"SIK2",0.0178864394684619
"PAFAH1B3",0.0190073965243847
"HPSE2",0.0254880107558785
"KLB",0.0307033774585736
"WDR62",0.0308420022017864
"KLHL33",0.0382454432670538
"NPR1",0.0388747178196499
"UHRF1",0.0404618513156069
"PDE2A",0.0516022668570963
"FHL1",0.056611341823172
"AQPEP",0.0575135797542533
"PYCR1",0.0581459159480134
"TRPM3",0.0741712571937719
"C16orf59",0.0763001397773441
"GPR146",0.0793805380600555
"RYR3",0.0830563435726341
"PYGM",0.0849814800371024
"PAPPA2",0.0926448981983999
"APOB",0.0965426690910397
"FIGF",0.0986715081029018
"PBK",0.107726157372486
"ADH4",0.108548407747406
"CCDC64",0.108906988308558
"ITIH5",0.109061758857364
"SLC2A4",0.115346639474295
"PKMYT1",0.119325194163227
"ADAMTS5",0.120378763845081
"BTNL9",0.138676802612714
"PPP1R12B",0.165902859470725
"MYOM1",0.173451167792815
"GLYAT",0.174211305493059
"SPTBN1",0.186240087488624
"IQGAP3",0.201676981698208
"LPL",0.225279569352113
"ADH1A",0.228666177169599
"NUSAP1",0.228679856011196
"PAMR1",0.231022475400314
"CPA1",0.241852974970463
"DPP6",0.250667516316519
"ANGPTL7",0.253051867468278
"CA4",0.25383980449875
"GPAM",0.254681688797919
"TK1",0.262968259513441
"TNS1",0.263351940840988
"MYOC",0.269422637775061
"NEK2",0.27274170921334
"HIF3A",0.293730145431856
"TROAP",0.295923451902532
"NKAPL",0.313648576267551
"SPC25",0.320374632856856
"GSN",0.330084984587674
"CDC25C",0.342571813971933
"KIF20A",0.35277562212094
"ADRA1A",0.356064631876253
"EPB42",0.375525703289365
"DLGAP5",0.404217867121765
"TPX2",0.409037023038335
"NUF2",0.416570721477678
"HMMR",0.419015823329884
"KCNIP2",0.42126497069956
"MMP11",0.426160753404551
"CAV2",0.4446990509486
"HSD17B13",0.445385776396995
"NAALAD2",0.454511021746491
"HEPN1",0.458715418859896
"AQP7P3",0.483525804508752
"ANGPT4",0.496336777401622
"HSD17B6",0.505917500918844
"AQP7P1",0.512283341540682
"EBF1",0.513574070117155
"MESTIT1",0.52236276295249
"COL10A1",0.560806015778616
"CAV1",0.561586494816174
"DTL",0.564168513940927
"LOC283392",0.575475088140225
"BUB1",0.618764575224185
"SORBS1",0.646167330980968
"ARHGAP20",0.657081559379366
"UBE2T",0.663073793528234
"CD300LG",0.670988262949772
"KIAA0101",0.677686717031388
"HJURP",0.705065082922428
"CDK1",0.732680068165591
"MELK",0.737382836577486
"UBE2C",0.738734795210337
"KIF4A",0.833032177630694
"ABCA10",0.836078630538418
"B3GALT1",0.870631515469415
"LRRC3B",0.89418284224567
"ACVR1C",0.913014376733203
"LOC572558",0.949985037526113
"HEPACAM",0.962700453946131
